城市代码	城市	上级代码	简称	级别	区电话	邮编	拼音
140830	芮城县	140800	芮城	3	0359	044600	Ruicheng	
140881	永济市	140800	永济	3	0359	044500	Yongji	
140882	河津市	140800	河津	3	0359	043300	Hejin	
140900	忻州市	140000	忻州	2	0350	034000	Xinzhou	
140902	忻府区	140900	忻府	3	0350	034000	Xinfu	
140921	定襄县	140900	定襄	3	0350	035400	Dingxiang	
140922	五台县	140900	五台	3	0350	035500	Wutai	
140923	代县	140900	代县	3	0350	034200	Daixian	
140924	繁峙县	140900	繁峙	3	0350	034300	Fanshi	
140925	宁武县	140900	宁武	3	0350	036700	Ningwu	
140926	静乐县	140900	静乐	3	0350	035100	Jingle	
140927	神池县	140900	神池	3	0350	036100	Shenchi	
140928	五寨县	140900	五寨	3	0350	036200	Wuzhai	
140929	岢岚县	140900	岢岚	3	0350	036300	Kelan	
140930	河曲县	140900	河曲	3	0350	036500	Hequ	
140931	保德县	140900	保德	3	0350	036600	Baode	
140932	偏关县	140900	偏关	3	0350	036400	Pianguan	
140981	原平市	140900	原平	3	0350	034100	Yuanping	
141000	临汾市	140000	临汾	2	0357	041000	Linfen	
141002	尧都区	141000	尧都	3	0357	041000	Yaodu	
141021	曲沃县	141000	曲沃	3	0357	043400	Quwo	
141022	翼城县	141000	翼城	3	0357	043500	Yicheng	
141023	襄汾县	141000	襄汾	3	0357	041500	Xiangfen	
141024	洪洞县	141000	洪洞	3	0357	041600	Hongtong	
141025	古县	141000	古县	3	0357	042400	Guxian	
141026	安泽县	141000	安泽	3	0357	042500	Anze	
141027	浮山县	141000	浮山	3	0357	042600	Fushan	
141028	吉县	141000	吉县	3	0357	042200	Jixian	
141029	乡宁县	141000	乡宁	3	0357	042100	Xiangning	
141030	大宁县	141000	大宁	3	0357	042300	Daning	
141031	隰县	141000	隰县	3	0357	041300	Xixian	
141032	永和县	141000	永和	3	0357	041400	Yonghe	
141033	蒲县	141000	蒲县	3	0357	041200	Puxian	
141034	汾西县	141000	汾西	3	0357	031500	Fenxi	
141081	侯马市	141000	侯马	3	0357	043000	Houma	
141082	霍州市	141000	霍州	3	0357	031400	Huozhou	
141100	吕梁市	140000	吕梁	2	0358	033000	Lvliang	
141102	离石区	141100	离石	3	0358	033000	Lishi	
141121	文水县	141100	文水	3	0358	032100	Wenshui	
141122	交城县	141100	交城	3	0358	030500	Jiaocheng	
141123	兴县	141100	兴县	3	0358	033600	Xingxian	
141124	临县	141100	临县	3	0358	033200	Linxian	
141125	柳林县	141100	柳林	3	0358	033300	Liulin	
141126	石楼县	141100	石楼	3	0358	032500	Shilou	
141127	岚县	141100	岚县	3	0358	033500	Lanxian	
141128	方山县	141100	方山	3	0358	033100	Fangshan	
141129	中阳县	141100	中阳	3	0358	033400	Zhongyang	
141130	交口县	141100	交口	3	0358	032400	Jiaokou	
141181	孝义市	141100	孝义	3	0358	032300	Xiaoyi	
141182	汾阳市	141100	汾阳	3	0358	032200	Fenyang	
150000	内蒙古自治区	100000	内蒙古	1		Inner Mongolia	
150100	呼和浩特市	150000	呼和浩特	2	0471	010000	Hohhot	
150102	新城区	150100	新城	3	0471	010050	Xincheng	
150103	回民区	150100	回民	3	0471	010030	Huimin	
150104	玉泉区	150100	玉泉	3	0471	010020	Yuquan	
150105	赛罕区	150100	赛罕	3	0471	010020	Saihan	
150121	土默特左旗	150100	土默特左旗	3	0471	010100	Tumotezuoqi	
150122	托克托县	150100	托克托	3	0471	010200	Tuoketuo	
150123	和林格尔县	150100	和林格尔	3	0471	011500	Helingeer	
150124	清水河县	150100	清水河	3	0471	011600	Qingshuihe	
150125	武川县	150100	武川	3	0471	011700	Wuchuan	
150200	包头市	150000	包头	2	0472	014025	Baotou	
150202	东河区	150200	东河	3	0472	014040	Donghe	
150203	昆都仑区	150200	昆都仑	3	0472	014010	Kundulun	
150204	青山区	150200	青山	3	0472	014030	Qingshan	
150205	石拐区	150200	石拐	3	0472	014070	Shiguai	
150206	白云鄂博矿区	150200	白云鄂博矿区	3	0472	014080	Baiyunebokuangqu	
150207	九原区	150200	九原	3	0472	014060	Jiuyuan	
150221	土默特右旗	150200	土默特右旗	3	0472	014100	Tumoteyouqi	
150222	固阳县	150200	固阳	3	0472	014200	Guyang	
150223	达尔罕茂明安联合旗	150200	达茂旗	3	0472	014500	Damaoqi	
150300	乌海市	150000	乌海	2	0473	016000	Wuhai	
150302	海勃湾区	150300	海勃湾	3	0473	016000	Haibowan	
150303	海南区	150300	海南	3	0473	016030	Hainan	
150304	乌达区	150300	乌达	3	0473	016040	Wuda	
150400	赤峰市	150000	赤峰	2	0476	024000	Chifeng	
150402	红山区	150400	红山	3	0476	024020	Hongshan	
150403	元宝山区	150400	元宝山	3	0476	024076	Yuanbaoshan	
150404	松山区	150400	松山	3	0476	024005	Songshan	
150421	阿鲁科尔沁旗	150400	阿鲁科尔沁旗	3	0476	025550	Alukeerqinqi	
150422	巴林左旗	150400	巴林左旗	3	0476	025450	Balinzuoqi	
150423	巴林右旗	150400	巴林右旗	3	0476	025150	Balinyouqi	
150424	林西县	150400	林西	3	0476	025250	Linxi	
150425	克什克腾旗	150400	克什克腾旗	3	0476	025350	Keshiketengqi	
150426	翁牛特旗	150400	翁牛特旗	3	0476	024500	Wengniuteqi	
150428	喀喇沁旗	150400	喀喇沁旗	3	0476	024400	Kalaqinqi	
150429	宁城县	150400	宁城	3	0476	024200	Ningcheng	
150430	敖汉旗	150400	敖汉旗	3	0476	024300	Aohanqi	
150500	通辽市	150000	通辽	2	0475	028000	Tongliao	
150502	科尔沁区	150500	科尔沁	3	0475	028000	Keerqin	
150521	科尔沁左翼中旗	150500	科尔沁左翼	3	0475	029300	Keerqinzuoyizhongqi	
150522	科尔沁左翼后旗	150500	科尔沁左翼	3	0475	028100	Keerqinzuoyihouqi	
150523	开鲁县	150500	开鲁	3	0475	028400	Kailu	
150524	库伦旗	150500	库伦旗	3	0475	028200	Kulunqi	
